from,to,weight
P07900,P04637,-0.538185019
P07900,P24941,0.872955805
P07900,Q9Y2Z0,-0.067736852
P07900,P05412,0.56978564
P07900,Q9UNE7,0.468662277
P07900,O95433,-0.419409205
P07900,Q02790,-0.557304035
P07900,P31749,-0.088180761
P07900,Q9UKV8,0.997316695
P07900,P12931,-0.116314712
P07900,P00533,0.442013649
P07900,Q16665,0.671656104
P07900,P37173,-0.015597101
P07900,O15111,0.49633759
P07900,P06239,-0.186608263
P07900,P30153,-0.360936283
P07900,P68400,-0.827801381
P07900,P00519,-0.259133236
P07900,P03372,0.282897734
P07900,P04150,-0.207408795
P07900,Q15185,-0.658432586
P07900,O60884,-0.803250716
P07900,Q9H6T3,-0.591048971
P07900,Q7L3B6,0.408312788
P07900,P04049,-0.588813995
P07900,P04626,-0.93246906
P07900,Q13451,-0.973560262
P07900,Q16543,-0.331102837
P07900,Q13131,0.840335116
P07900,Q15831,-0.844332465
P07900,P31948,0.687015466
P07900,Q9UIM3,-0.410342473
P07900,Q96Q40,0.98910119
P07900,Q96QS6,-0.480202917
P07900,Q99615,-0.925806771
P07900,Q9Y239,0.428198406
P07900,P12830,0.545869668
P07900,Q14653,0.322716369
P07900,Q9UHD2,0.156513501
P07900,Q00987,0.139730231
P07900,P35869,-0.30709243
P07900,P06241,-0.564077128
P07900,P51617,-0.615498498
P07900,O14920,-0.075219926
P07900,Q05513,-0.01608851
P07900,Q99558,0.100873644
P07900,P10275,-0.153115463
P07900,P08047,-0.910088153
P07900,Q9Y6K9,-0.860411629
P07900,Q13546,0.789852803
P07900,O43318,-0.885201506
P07900,P07814,0.570675073
P07900,O60260,0.850019186
P07900,P11142,0.689964515
P07900,P29474,-0.471459617
P07900,P41743,0.337374854
P07900,P13569,0.890387916
P07900,O14757,-0.852340538
P07900,P09936,0.186844732
P07900,P08253,0.041063161
P07900,P11802,0.392457413
P07900,Q9UBN7,0.50820664
P07900,Q71U36,0.644489226
P07900,Q07869,-0.215885971
P07900,Q15750,-0.595764777
P07900,P04629,-0.385459148
P07900,P48729,-0.450996797
P07900,Q96EB6,-0.256199536
P07900,O14746,0.118780165
P07900,Q00613,-0.260243811
P07900,P08238,0.071850598
P07900,Q99759,-0.404806504
P07900,Q9NYJ8,0.252025837
P07900,P11274,0.205415069
P07900,Q9BXA6,-0.570099154
P07900,P0DMV8,0.145956173
P07900,P61247,0.463155401
P07900,P19525,0.486854137
P07900,Q07912,0.071039172
P07900,P21860,-0.57543749
P07900,Q5S007,-0.972009625
P07900,Q14145,-0.970487186
P07900,Q13619,0.490369401
P07900,Q9HCU9,-0.876147149
P07900,O00170,-0.674214984
P07900,Q92597,0.639310198
P07900,P49327,-0.362690486
P07900,P50750,-0.369159847
P07900,Q14164,0.936879769
P07900,P11309,0.873522992
P07900,P36897,0.795623485
P07900,P34932,-0.308469353
P07900,Q14318,0.069536289
P07900,Q9BXM7,-0.178827051
